Sura without replacements,Attributes of God
"He said, ""O Adam, inform them of their names."" And when he had informed them of their names, He said, ""Did I not tell you that I know the unseen [aspects] of the heavens and the earth? And I know what you reveal and what you have concealed.""",1
Do you not know that to Allah belongs the dominion of the heavens and the earth and [that] you have not besides Allah any protector or any helper?,1
"Originator of the heavens and the earth. When He decrees a matter, He only says to it, ""Be,"" and it is.",1
"Indeed, in the creation of the heavens and earth, and the alternation of the night and the day, and the [great] ships which sail through the sea with that which benefits people, and what Allah has sent down from the heavens of rain, giving life thereby to the earth after its lifelessness and dispersing therein every [kind of] moving creature, and [His] directing of the winds and the clouds controlled between the heaven and the earth are signs for a people who use reason.",0
"Allah - there is no deity except Him, the Ever-Living, the Sustainer of [all] existence. Neither drowsiness overtakes Him nor sleep. To Him belongs whatever is in the heavens and whatever is on the earth. Who is it that can intercede with Him except by His permission? He knows what is [presently] before them and what will be after them, and they encompass not a thing of His knowledge except for what He wills. His Kursi extends over the heavens and the earth, and their preservation tires Him not. And He is the Most High, the Most Great.",1
"And let not those who [greedily] withhold what Allah has given them of His bounty ever think that it is better for them. Rather, it is worse for them. Their necks will be encircled by what they withheld on the Day of Resurrection. And to Allah belongs the heritage of the heavens and the earth. And Allah, with what you do, is [fully] Acquainted.",1
"And to Allah belongs the dominion of the heavens and the earth, and Allah is over all things competent.",1
"Indeed, in the creation of the heavens and the earth and the alternation of the night and the day are signs for those of understanding.",0
"Who remember Allah while standing or sitting or [lying] on their sides and give thought to the creation of the heavens and the earth, [saying], ""Our Lord, You did not create this aimlessly; exalted are You [above such a thing]; then protect us from the punishment of the Fire.",0
"They have certainly disbelieved who say that Allah is Christ, the son of Mary. Say, ""Then who could prevent Allah at all if He had intended to destroy Christ, the son of Mary, or his mother or everyone on the earth?"" And to Allah belongs the dominion of the heavens and the earth and whatever is between them. He creates what He wills, and Allah is over all things competent.",1
"But the Jews and the Christians say, ""We are the children of Allah and His beloved."" Say, ""Then why does He punish you for your sins?"" Rather, you are human beings from among those He has created. He forgives whom He wills, and He punishes whom He wills. And to Allah belongs the dominion of the heavens and the earth and whatever is between them, and to Him is the [final] destination.",1
"Do you not know that to Allah belongs the dominion of the heavens and the earth? He punishes whom He wills and forgives whom He wills, and Allah is over all things competent.",1
To Allah belongs the dominion of the heavens and the earth and whatever is within them. And He is over all things competent.,1
"[All] praise is [due] to Allah, who created the heavens and the earth and made the darkness and the light. Then those who disbelieve equate [others] with their Lord.",0
"Say, ""Is it other than Allah I should take as a protector, Creator of the heavens and the earth, while it is He who feeds and is not fed?"" Say, [O Muhammad], ""Indeed, I have been commanded to be the first [among you] who submit [to Allah] and [was commanded], 'Do not ever be of the polytheists.' """,1
"And it is He who created the heavens and earth in truth. And the day He says, ""Be,"" and it is, His word is the truth. And His is the dominion [on] the Day the Horn is blown. [He is] Knower of the unseen and the witnessed; and He is the Wise, the Acquainted.",1
And thus did We show Abraham the realm of the heavens and the earth that he would be among the certain [in faith],0
"Indeed, I have turned my face toward He who created the heavens and the earth, inclining toward truth, and I am not of those who associate others with Allah.""",0
"[He is] Originator of the heavens and the earth. How could He have a son when He does not have a companion and He created all things? And He is, of all things, Knowing.",1
"Indeed, your Lord is Allah, who created the heavens and earth in six days and then established Himself above the Throne. He covers the night with the day, [another night] chasing it rapidly; and [He created] the sun, the moon, and the stars, subjected by His command. Unquestionably, His is the creation and the command; blessed is Allah, Lord of the worlds.",1
"And if only the people of the cities had believed and feared Allah, We would have opened upon them blessings from the heaven and the earth; but they denied [the messengers], so We seized them for what they were earning.""",1
Do they not look into the realm of the heavens and the earth and everything that Allah has created and [think] that perhaps their appointed time has come near? So in what statement hereafter will they believe?,1
"They ask you, [O Muhammad], about the Hour: when is its arrival? Say, ""Its knowledge is only with my Lord. None will reveal its time except Him. It lays heavily upon the heavens and the earth. It will not come upon you except unexpectedly."" They ask you as if you are familiar with it. Say, ""Its knowledge is only with Allah, but most of the people do not know.""",1
"Indeed, the number of months with Allah is twelve [lunar] months in the register of Allah [from] the day He created the heavens and the earth; of these, four are sacred. That is the correct religion, so do not wrong yourselves during them. And fight against the disbelievers collectively as they fight against you collectively. And know that Allah is with the righteous [who fear Him].",1
"Indeed, to Allah belongs the dominion of the heavens and the earth; He gives life and causes death. And you have not besides Allah any protector or any helper.",1
"Indeed, your Lord is Allah, who created the heavens and the earth in six days and then established Himself above the Throne, arranging the matter [of His creation]. There is no intercessor except after His permission. That is Allah, your Lord, so worship Him. Then will you not remember?",1
"Indeed, in the alternation of the night and the day and [in] what Allah has created in the heavens and the earth are signs for a people who fear Allah",0
"And it is He who created the heavens and the earth in six days - and His Throne had been upon water - that He might test you as to which of you is best in deed. But if you say, ""Indeed, you are resurrected after death,"" those who disbelieve will surely say, ""This is not but obvious magic.""",0
"[They will be] abiding therein as long as the heavens and the earth endure, except what your Lord should will. Indeed, your Lord is an effecter of what He intends.",1
"And as for those who were [destined to be] prosperous, they will be in Paradise, abiding therein as long as the heavens and the earth endure, except what your Lord should will - a bestowal uninterrupted.",0
"And to Allah belong the unseen [aspects] of the heavens and the earth and to Him will be returned the matter, all of it, so worship Him and rely upon Him. And your Lord is not unaware of that which you do.",1
"My Lord, You have given me [something] of sovereignty and taught me of the interpretation of dreams. Creator of the heavens and earth, You are my protector in this world and in the Hereafter. Cause me to die a Muslim and join me with the righteous.""",0
"And how many a sign within the heavens and earth do they pass over while they, therefrom, are turning away.",0
"And to Allah prostrates whoever is within the heavens and the earth, willingly or by compulsion, and their shadows [as well] in the mornings and the afternoons.",0
"Say, ""Who is Lord of the heavens and earth?"" Say, ""Allah."" Say, ""Have you then taken besides Him allies not possessing [even] for themselves any benefit or any harm?"" Say, ""Is the blind equivalent to the seeing? Or is darkness equivalent to light? Or have they attributed to Allah partners who created like His creation so that the creation [of each] seemed similar to them?"" Say, ""Allah is the Creator of all things, and He is the One, the Prevailing.""",1
"Their messengers said, ""Can there be doubt about Allah, Creator of the heavens and earth? He invites you that He may forgive you of your sins, and He delays your death for a specified term."" They said, ""You are not but men like us who wish to avert us from what our fathers were worshipping. So bring us a clear authority.""",1
"Have you not seen that Allah created the heavens and the earth in truth? If He wills, He can do away with you and produce a new creation.",1
It is Allah who created the heavens and the earth and sent down rain from the sky and produced thereby some fruits as provision for you and subjected for you the ship to sail through the sea by His command and subjected for you the rivers.,0
He created the heavens and earth in truth. High is He above what they associate with Him.,1
"And to Allah belongs the unseen [aspects] of the heavens and the earth. And the command for the Hour is not but as a glance of the eye or even nearer. Indeed, Allah is over all things competent.",1
"Do they not see that Allah, who created the heavens and earth, is [the one] Able to create the likes of them? And He has appointed for them a term, about which there is no doubt. But the wrongdoers refuse [anything] except disbelief.",1
"[Moses] said, ""You have already known that none has sent down these [signs] except the Lord of the heavens and the earth as evidence, and indeed I think, O Pharaoh, that you are destroyed.""",0
"Say, ""Allah is most knowing of how long they remained. He has [knowledge of] the unseen [aspects] of the heavens and the earth. How Seeing is He and how Hearing! They have not besides Him any protector, and He shares not His legislation with anyone.""","1
"
"I did not make them witness to the creation of the heavens and the earth or to the creation of themselves, and I would not have taken the misguiders as assistants.",0
There is no one in the heavens and earth but that he comes to the Most Merciful as a servant.,1
"A revelation from He who created the earth and highest heavens,","0
"
And We did not create the heaven and earth and that between them in play.,0
"Had there been within the heavens and earth gods besides Allah, they both would have been ruined. So exalted is Allah, Lord of the Throne, above what they describe.",1
"Have those who disbelieved not considered that the heavens and the earth were a joined entity, and We separated them and made from water every living thing? Then will they not believe?",0
"He said, ""[No], rather, your Lord is the Lord of the heavens and the earth who created them, and I, to that, am of those who testify.",1
"But if the Truth had followed their inclinations, the heavens and the earth and whoever is in them would have been ruined. Rather, We have brought them their message, but they, from their message, are turning away.",0
"Allah is the Light of the heavens and the earth. The example of His light is like a niche within which is a lamp, the lamp is within glass, the glass as if it were a pearly [white] star lit from [the oil of] a blessed olive tree, neither of the east nor of the west, whose oil would almost glow even if untouched by fire. Light upon light. Allah guides to His light whom He wills. And Allah presents examples for the people, and Allah is Knowing of all things.",1
"And to Allah belongs the dominion of the heavens and the earth, and to Allah is the destination.",1
He to whom belongs the dominion of the heavens and the earth and who has not taken a son and has not had a partner in dominion and has created each thing and determined it with [precise] determination.,"1
"
"Say, [O Muhammad], ""It has been revealed by He who knows [every] secret within the heavens and the earth. Indeed, He is ever Forgiving and Merciful.""",1
"He who created the heavens and the earth and what is between them in six days and then established Himself above the Throne - the Most Merciful, so ask about Him one well informed.",1
"[Moses] said, ""The Lord of the heavens and earth and that between them, if you should be convinced.""",1
"[And] so they do not prostrate to Allah, who brings forth what is hidden within the heavens and the earth and knows what you conceal and what you declare -",1
"[More precisely], is He [not best] who created the heavens and the earth and sent down for you rain from the sky, causing to grow thereby gardens of joyful beauty which you could not [otherwise] have grown the trees thereof? Is there a deity with Allah? [No], but they are a people who ascribe equals [to Him].",1
"Is He [not best] who begins creation and then repeats it and who provides for you from the heaven and earth? Is there a deity with Allah? Say, ""Produce your proof, if you should be truthful.""",1
And there is nothing concealed within the heaven and the earth except that it is in a clear Register.,0
Allah created the heavens and the earth in truth. Indeed in that is a sign for the believers.,0
"If you asked them, ""Who created the heavens and earth and subjected the sun and the moon?"" they would surely say, ""Allah."" Then how are they deluded?",0
"Do they not contemplate within themselves? Allah has not created the heavens and the earth and what is between them except in truth and for a specified term. And indeed, many of the people, in [the matter of] the meeting with their Lord, are disbelievers.",0
And of His signs is the creation of the heavens and the earth and the diversity of your languages and your colors. Indeed in that are signs for those of knowledge.,0
"And of His signs is that the heaven and earth remain by His command. Then when He calls you with a [single] call from the earth, immediately you will come forth.",1
"And it is He who begins creation; then He repeats it, and that is [even] easier for Him. To Him belongs the highest attribute in the heavens and earth. And He is the Exalted in Might, the Wise.",1
"And if you asked them, ""Who created the heavens and earth?"" they would surely say, ""Allah."" Say, ""[All] praise is [due] to Allah ""; but most of them do not know.",1
"To Allah belongs whatever is in the heavens and earth. Indeed, Allah is the Free of need, the Praiseworthy.",1
It is Allah who created the heavens and the earth and whatever is between them in six days; then He established Himself above the Throne. You have not besides Him any protector or any intercessor; so will you not be reminded?,1
"Indeed, we offered the Trust to the heavens and the earth and the mountains, and they declined to bear it and feared it; but man [undertook to] bear it. Indeed, he was unjust and ignorant.",0
"Say, ""Who provides for you from the heavens and the earth?"" Say, ""Allah. And indeed, we or you are either upon guidance or in clear error.""",1
"[All] praise is [due] to Allah, Creator of the heavens and the earth, [who] made the angels messengers having wings, two or three or four. He increases in creation what He wills. Indeed, Allah is over all things competent.",1
"O mankind, remember the favor of Allah upon you. Is there any creator other than Allah who provides for you from the heaven and earth? There is no deity except Him, so how are you deluded?",0
"Indeed, Allah is Knower of the unseen [aspects] of the heavens and earth. Indeed, He is Knowing of that within the breasts.",1
"Indeed, Allah holds the heavens and the earth, lest they cease. And if they should cease, no one could hold them [in place] after Him. Indeed, He is Forbearing and Forgiving.",1
"Is not He who created the heavens and the earth Able to create the likes of them? Yes, [it is so]; and He is the Knowing Creator.",1
Or is theirs the dominion of the heavens and the earth and what is between them? Then let them ascend through [any] ways of access.,0
"Lord of the heavens and the earth and whatever is between them, the Exalted in Might, the Perpetual Forgiver.""",1
"He created the heavens and earth in truth. He wraps the night over the day and wraps the day over the night and has subjected the sun and the moon, each running [its course] for a specified term. Unquestionably, He is the Exalted in Might, the Perpetual Forgiver.",1
"And if you asked them, ""Who created the heavens and the earth?"" they would surely say, ""Allah."" Say, ""Then have you considered what you invoke besides Allah? If Allah intended me harm, are they removers of His harm; or if He intended me mercy, are they withholders of His mercy?"" Say, ""Sufficient for me is Allah; upon Him [alone] rely the [wise] reliers.""",0
"Say, ""To Allah belongs [the right to allow] intercession entirely. To Him belongs the dominion of the heavens and the earth. Then to Him you will be returned.""",0
"Say, ""O Allah, Creator of the heavens and the earth, Knower of the unseen and the witnessed, You will judge between your servants concerning that over which they used to differ.""",1
To Him belong the keys of the heavens and the earth. And they who disbelieve in the verses of Allah - it is those who are the losers.,1
"The creation of the heavens and earth is greater than the creation of mankind, but most of the people do not know.",0
"[He is] Creator of the heavens and the earth. He has made for you from yourselves, mates, and among the cattle, mates; He multiplies you thereby. There is nothing like unto Him, and He is the Hearing, the Seeing.",1
"To Him belong the keys of the heavens and the earth. He extends provision for whom He wills and restricts [it]. Indeed He is, of all things, Knowing.",1
"And of his signs is the creation of the heavens and earth and what He has dispersed throughout them of creatures. And He, for gathering them when He wills, is competent.",1
"To Allah belongs the dominion of the heavens and the earth; He creates what he wills. He gives to whom He wills female [children], and He gives to whom He wills males.",1
"And if you should ask them, ""Who has created the heavens and the earth?"" they would surely say, ""They were created by the Exalted in Might, the Knowing.""",1
"Exalted is the Lord of the heavens and the earth, Lord of the Throne, above what they describe.",1
And blessed is He to whom belongs the dominion of the heavens and the earth and whatever is between them and with whom is knowledge of the Hour and to whom you will be returned.,1
"Lord of the heavens and the earth and that between them, if you would be certain.",0
"Indeed, within the heavens and earth are signs for the believers.",0
"And Allah created the heavens and earth in truth and so that every soul may be recompensed for what it has earned, and they will not be wronged.",0
And to Allah belongs the dominion of the heavens and the earth. And the Day the Hour appears - that Day the falsifiers will lose.,0
"And to Him belongs [all] grandeur within the heavens and the earth, and He is the Exalted in Might, the Wise.",1
"We did not create the heavens and earth and what is between them except in truth and [for] a specified term. But those who disbelieve, from that of which they are warned, are turning away.",0
"Do they not see that Allah, who created the heavens and earth and did not fail in their creation, is able to give life to the dead? Yes. Indeed, He is over all things competent.",1
"It is He who sent down tranquillity into the hearts of the believers that they would increase in faith along with their [present] faith. And to Allah belong the soldiers of the heavens and the earth, and ever is Allah Knowing and Wise.",1
And to Allah belong the soldiers of the heavens and the earth. And ever is Allah Exalted in Might and Wise.,1
And to Allah belongs the dominion of the heavens and the earth. He forgives whom He wills and punishes whom He wills. And ever is Allah Forgiving and Merciful.,1
"Indeed, Allah knows the unseen [aspects] of the heavens and the earth. And Allah is Seeing of what you do.",1
"And We did certainly create the heavens and earth and what is between them in six days, and there touched Us no weariness.",1
"Then by the Lord of the heaven and earth, indeed, it is truth - just as [sure as] it is that you are speaking.",1
"Or did they create the heavens and the earth? Rather, they are not certain.",0
"O company of jinn and mankind, if you are able to pass beyond the regions of the heavens and the earth, then pass. You will not pass except by authority [from Allah].",1
"His is the dominion of the heavens and earth. He gives life and causes death, and He is over all things competent.",1
"It is He who created the heavens and earth in six days and then established Himself above the Throne. He knows what penetrates into the earth and what emerges from it and what descends from the heaven and what ascends therein; and He is with you wherever you are. And Allah, of what you do, is Seeing.",1
His is the dominion of the heavens and earth. And to Allah are returned [all] matters.,1
"And why do you not spend in the cause of Allah while to Allah belongs the heritage of the heavens and the earth? Not equal among you are those who spent before the conquest [of Makkah] and fought [and those who did so after it]. Those are greater in degree than they who spent afterwards and fought. But to all Allah has promised the best [reward]. And Allah, with what you do, is Acquainted.",0
"Race toward forgiveness from your Lord and a Garden whose width is like the width of the heavens and earth, prepared for those who believed in Allah and His messengers. That is the bounty of Allah which He gives to whom He wills, and Allah is the possessor of great bounty.",1
"They are the ones who say, ""Do not spend on those who are with the Messenger of Allah until they disband."" And to Allah belongs the depositories of the heavens and the earth, but the hypocrites do not understand.",0
He created the heavens and earth in truth and formed you and perfected your forms; and to Him is the [final] destination.,0
"[From] the Lord of the heavens and the earth and whatever is between them, the Most Merciful. They possess not from Him [authority for] speech.",1
"To whom belongs the dominion of the heavens and the earth. And Allah, over all things, is Witness.","1
"
"They say, ""Allah has taken a son."" Exalted is He! Rather, to Him belongs whatever is in the heavens and the earth. All are devoutly obedient to Him,",1
"So is it other than the religion of Allah they desire, while to Him have submitted [all] those within the heavens and earth, willingly or by compulsion, and to Him they will be returned?",0
